Date,Price
2019-12-04,37414.0
2019-12-05,37238.0
2019-12-06,36740.0
2019-12-09,36695.0
2019-12-10,36609.0
2019-12-11,36805.0
2019-12-12,36592.0
2019-12-13,36726.0
2019-12-16,36778.0
2019-12-17,36889.0
2019-12-18,36992.0
2019-12-19,37015.0
2019-12-20,37049.0
2019-12-23,37141.0
2019-12-24,37655.0
2019-12-26,38087.0
2019-12-27,38072.0
2019-12-30,38097.0
2019-12-31,38221.0
2020-01-02,38193.0
2020-01-03,39025.0
2020-01-06,39628.0
2020-01-07,39801.0
2020-01-08,39641.0
2020-01-09,39087.0
2020-01-10,39113.0
2020-01-13,38753.0
2020-01-14,38475.0
2020-01-15,38786.0
2020-01-16,38639.0
2020-01-17,39009.0
2020-01-21,38996.0
2020-01-22,39045.0
2020-01-23,39227.0
2020-01-24,39525.0
2020-01-27,39670.0
2020-01-28,39543.0
2020-01-29,39442.0
2020-01-30,39825.0
2020-01-31,40000.0
2020-02-03,39776.0
2020-02-04,39000.0
2020-02-05,39069.0
2020-02-06,39296.0
2020-02-07,39544.0
2020-02-10,39723.0
2020-02-11,39364.0
2020-02-12,39407.0
2020-02-13,39612.0
2020-02-14,39787.0
2020-02-18,40268.0
2020-02-19,40585.0
2020-02-20,40958.0
2020-02-21,41832.0
2020-02-24,42407.0
2020-02-25,41853.0
2020-02-26,41576.0
2020-02-27,41456.0
2020-02-28,39685.0
2020-03-02,40524.0
2020-03-03,42182.0
2020-03-04,42456.0
2020-03-05,43522.0
2020-03-06,43527.0
2020-03-09,43706.0
2020-03-10,43544.0
2020-03-11,42963.0
2020-03-12,41911.0
2020-03-13,40258.0
2020-03-16,38735.0
2020-03-17,40425.0
2020-03-18,38568.0
2020-03-19,39107.0
2020-03-20,39343.0
2020-03-23,41799.0
2020-03-24,44803.0
2020-03-25,44484.0
2020-03-26,44146.0
2020-03-27,42803.0
2020-03-30,43176.0
2020-03-31,42113.0
2020-04-01,41932.0
2020-04-02,44482.0
2020-04-03,44453.0
2020-04-06,45093.0
2020-04-07,44609.0
2020-04-08,45034.0
2020-04-09,46519.0
2020-04-13,46877.0
2020-04-14,47657.0
2020-04-15,46261.0
2020-04-16,46856.0
2020-04-17,46219.0
2020-04-20,45953.0
2020-04-21,45705.0
2020-04-22,46934.0
2020-04-23,46711.0
2020-04-24,46460.0
2020-04-27,46056.0
2020-04-28,45967.0
2020-04-29,45944.0
2020-04-30,44709.0
2020-05-01,45259.0
2020-05-04,45518.0
2020-05-05,45601.0
2020-05-06,45251.0
2020-05-07,46250.0
2020-05-08,45887.0
2020-05-11,45163.0
2020-05-12,45878.0
2020-05-13,45753.0
2020-05-14,46243.0
2020-05-15,46687.0
2020-05-18,46316.0
2020-05-19,46512.0
2020-05-20,46930.0
2020-05-21,45990.0
2020-05-22,46272.0
2020-05-26,45768.0
2020-05-27,45741.0
2020-05-28,46009.0
2020-05-29,46538.0
2020-06-01,46288.0
2020-06-02,46085.0
2020-06-03,44955.0
2020-06-04,45804.0
2020-06-05,44634.0
2020-06-08,45239.0
2020-06-09,45741.0
2020-06-10,45634.0
2020-06-11,46355.0
2020-06-12,46597.0
2020-06-15,46091.0
2020-06-16,46354.0
2020-06-17,46756.0
2020-06-18,46573.0
2020-06-19,47051.0
2020-06-22,47250.0
2020-06-23,47375.0
2020-06-24,47093.0
2020-06-25,47220.0
2020-06-26,47229.0
2020-06-29,47341.0
